Gene ID,log2FC,p-value,Significant
RPL17,0.822780078,0.000242798,Yes
SH2D3C,-0.623642746,0.000243073,Yes
KCNT1,-0.94566787,0.000244531,Yes
LOC105376177,0.920705982,0.000244912,Yes
KLHL3,-0.625559834,0.000245429,Yes
KCNB2,-1.158813999,0.000247392,Yes
PDIA4,0.751236461,0.00025056,Yes
FBXO44,-0.391141769,0.000250664,Yes
PEX5L,-0.988620589,0.000253014,Yes
OSBP2,-0.568269549,0.000253788,Yes
LIMD2,-0.647552512,0.000254408,Yes
DIO3OS,1.265485418,0.000254438,Yes
ELK1,0.640567362,0.000254745,Yes
DGKI,-1.146976326,0.000254777,Yes
ABCC12,-1.087440974,0.000255156,Yes
CAMKK2,-0.822543854,0.000255173,Yes
WDR1,0.4835985,0.000256184,Yes
OXTR,1.987712903,0.000259717,Yes
MIR4426,0.822528652,0.000259753,Yes
XYLT1,-0.598416489,0.000260646,Yes
PRKCD,-1.075790758,0.000260716,Yes
CLU,1.091407395,0.000261367,Yes
NDP-AS1,0.75822277,0.000264682,Yes
SMAD4,0.470114004,0.000264993,Yes
LINGO1,-0.716674393,0.000265794,Yes
BLOC1S5,0.607381721,0.000266016,Yes
LINC01094,1.155929165,0.000266748,Yes
SYNGR1,-0.820280962,0.000266883,Yes
MSX2,1.274539189,0.000269489,Yes
TCEA1,0.696681897,0.000270472,Yes
GOLM1,0.347822684,0.000270731,Yes
FAM229B,0.398583298,0.000271384,Yes
ARPP19,-0.673008311,0.000277624,Yes
RBM20,-0.795182594,0.000278995,Yes
TBKBP1,0.65052499,0.000279108,Yes
ADCYAP1R1,0.774368045,0.000280064,Yes
XBP1,0.897349779,0.00028063,Yes
TSPOAP1,-0.663990808,0.000281281,Yes
ABO,-1.325033752,0.000282499,Yes
FAM131A,-0.80853439,0.000283053,Yes
RPL4,0.596595392,0.00028352,Yes
AMFR,0.266566291,0.000286123,Yes
MYD88,0.994871405,0.000286353,Yes
FCGR1A,2.292248806,0.000286697,Yes
PDE4C,-0.953040057,0.000286699,Yes
ZNF324,-0.435327468,0.000288027,Yes
NTSR1,-0.714736863,0.000289929,Yes
APBB1,-0.412142594,0.000291401,Yes
TMEM260,-0.435276034,0.000291495,Yes
PEX12,0.67548459,0.000292579,Yes
SYTL1,1.664628028,0.000292976,Yes
CSMD2,-0.639532078,0.000293793,Yes
SLC7A8,-0.57953956,0.000295245,Yes
IL12RB2,-1.306504603,0.000295297,Yes
BEST3,1.268304138,0.000299309,Yes
CLSTN1,-0.623108035,0.000299696,Yes
BDNF,-0.940523715,0.000299704,Yes
LL22NC03-13G6.2,-1.667209546,0.000300898,Yes
CSRP2,1.123680425,0.000302208,Yes
EEF1G,0.718772942,0.000303423,Yes
DNAH5,-0.984427431,0.000303499,Yes
SOCS3,0.095144171,0.00030372,Yes
C7orf31,0.641993537,0.000303815,Yes
NWD2,-1.397322378,0.000306088,Yes
USP43,-0.686589027,0.000306419,Yes
SVEP1,-0.869834316,0.000309811,Yes
IQCC,-0.568294229,0.000310127,Yes
GABBR2,-0.917022063,0.000312504,Yes
LUC7L2,0.306219862,0.000312865,Yes
FOXK2,-0.472642221,0.000314052,Yes
ICA1L,-0.601066031,0.000324447,Yes
VWA7,-1.280744468,0.000325595,Yes
KCNH1,-1.404090261,0.000326035,Yes
IRF7,1.17065615,0.000327766,Yes
NEK11,0.441177053,0.000328224,Yes
UBE2L6,0.824590845,0.000328963,Yes
CA10,-0.843061152,0.00033006,Yes
FHOD1,-0.607939793,0.000330821,Yes
CACNB3,-0.568544563,0.00033389,Yes
SRP14,0.565611322,0.000334414,Yes
APOBEC3G,1.099031584,0.000334588,Yes
SEMA7A,-0.829690351,0.000335916,Yes
RAP1GAP,-0.496588848,0.000336638,Yes
A1BG-AS1,-0.731183134,0.000337726,Yes
SERPINH1,2.721148118,0.000338497,Yes
PUS3,0.583009764,0.000340831,Yes
MACROD1,0.653506007,0.000341757,Yes
MAS1,-1.41067352,0.000341932,Yes
LDLRAD4,-0.767111433,0.000343688,Yes
DMRTA1,1.158492688,0.000344428,Yes
MR1,0.649020056,0.000348787,Yes
DYRK2,-0.65454014,0.000348826,Yes
NREP,-0.716855966,0.000349591,Yes
CD40,1.088940244,0.000349598,Yes
CARMIL3,-0.745359379,0.000355155,Yes
NEDD4L,-0.591625187,0.000359838,Yes
VPS36,-0.858026154,0.000360147,Yes
SDHAF2,0.496226399,0.000360218,Yes
C8orf34-AS1,-0.908734435,0.000360561,Yes
HERC2P3,-0.91770201,0.000360598,Yes
CENPE,-0.982218723,0.000360733,Yes
CDK1,-1.099458147,0.000361327,Yes
DDIT4L,1.258970494,0.000366394,Yes
DVL3,0.328159002,0.000366882,Yes
SLC35E2B,-0.582267899,0.000367297,Yes
SARS2,-0.569387226,0.000368094,Yes
INTS1,-0.480038511,0.000368851,Yes
ITGB8,0.918562818,0.000370797,Yes
TMEM229B,-0.427275193,0.000372021,Yes
IL1R1,1.13266778,0.00037265,Yes
RECQL4,-0.861003742,0.000372898,Yes
PRKD2,1.279143789,0.000372902,Yes
ASCC1,0.635323198,0.000372929,Yes
FUT11,-0.69282014,0.00037382,Yes
SLC6A7,-1.152780825,0.000374144,Yes
ADRB2,1.428344952,0.000375257,Yes
PALM2AKAP2,-0.49826791,0.000375815,Yes
ATXN1-AS1,-0.889876813,0.000376585,Yes
SPRY3,-0.713936445,0.000377655,Yes
C1S,1.015838728,0.000379321,Yes
TMEM132D,-1.180963872,0.000379419,Yes
ARL3,0.251483127,0.00038296,Yes
ADGRB2,-0.639705915,0.00038467,Yes
MAP3K6,0.65533617,0.000384719,Yes
SNHG1,1.1917835,0.00038676,Yes
KIAA1549,-0.843718438,0.000389326,Yes
OS9,0.263939791,0.000391556,Yes
TDG,-0.761298997,0.000391796,Yes
ENPP6,-1.028918319,0.000392646,Yes
FCGR1BP,2.038085301,0.000393895,Yes
KCNB1,-1.093596842,0.000397508,Yes
CCEPR,0.74930426,0.000397564,Yes
XKR7,-0.700121626,0.000397985,Yes
TAB2-AS1,0.783476672,0.000398105,Yes
NUP50-DT,-0.711853803,0.000398197,Yes
ARHGEF6,0.672047086,0.000401986,Yes
MIR9-3HG,-0.610037449,0.000403017,Yes
HBD,1.861840227,0.000403172,Yes
TICAM2,0.820579524,0.000404655,Yes
ZNF16,0.409840359,0.000408457,Yes
HPCA,-0.686850513,0.000410194,Yes
ARL6IP1,0.289949393,0.000410485,Yes
SECTM1,1.62273835,0.000414033,Yes
HAT1,0.581691288,0.000414203,Yes
C1QB,1.981875952,0.000415207,Yes
TUBG2,-0.465812832,0.000415436,Yes
GNAI3,0.788556972,0.000417157,Yes
TAMALIN,-0.840864334,0.000417261,Yes
LGI3,-0.646730951,0.000418376,Yes
DLGAP1-AS1,1.52320034,0.00042232,Yes
OSBPL5,-0.528994819,0.000424508,Yes
SLC39A10,-0.986090038,0.000424813,Yes
PPP1R3D,1.028987116,0.000426972,Yes
IGFLR1,1.22275914,0.000431045,Yes
TLR4,1.179089274,0.000433054,Yes
HTR2A,-1.114715676,0.000433867,Yes
FXYD3,1.59108211,0.000434074,Yes
SSTR1,-1.097047002,0.000434308,Yes
TMEM169,-0.829512407,0.000435507,Yes
RBPMS,1.430014392,0.000435903,Yes
HUNK,-1.126832576,0.000437159,Yes
LAP3,0.614887848,0.000438326,Yes
LINC01643,-1.518780143,0.000439797,Yes
SLC14A1,2.030478422,0.000440138,Yes
HOMER1,-0.880441911,0.000441713,Yes
GALNT9,-0.491915032,0.00044219,Yes
DUSP23,0.528788723,0.000444988,Yes
ITPKA,-0.849565069,0.000445607,Yes
CYBA,1.39077887,0.000447213,Yes
FKRP,-0.490773973,0.000453149,Yes
LAIR1,1.685950935,0.000453915,Yes
MSN,1.069452165,0.000454647,Yes
GADD45A,1.100638888,0.000459352,Yes
SHMT1,0.590911193,0.000460212,Yes
VXN,-0.627114108,0.000460443,Yes
TEX29,-0.962274949,0.00046114,Yes
SMURF1,-0.455811317,0.0004615,Yes
FMC1-LUC7L2,0.302880155,0.000461854,Yes
TMEM63C,-0.797047841,0.000462046,Yes
LOC105374235,-1.88415807,0.000462127,Yes
ST3GAL6,-0.521725881,0.000465146,Yes
STK16,-0.309476166,0.000466196,Yes
LINC00869,0.639735036,0.00046777,Yes
ITIH5,-0.881134199,0.000469391,Yes
ADORA1,-0.590539902,0.00047089,Yes
NMI,1.028194759,0.000474592,Yes
DGKH,-0.683228626,0.000474797,Yes
CAPS,1.054918952,0.000480111,Yes
MNS1,0.623777471,0.000480462,Yes
SPRNP1,-1.183172611,0.000482559,Yes
NR1D1,0.50020783,0.000485128,Yes
SRPX2,1.097302115,0.000488971,Yes
IFITM3,1.575934711,0.000489499,Yes
TNXA,0.756302868,0.000489889,Yes
PAX7,-1.218555904,0.00049048,Yes
MAP3K9,-0.809752054,0.000493902,Yes
CACNB1,-0.62577398,0.000494894,Yes
LOC112268238,1.239267641,0.00049506,Yes
MCMBP,0.430623281,0.00049791,Yes
RPL7A,0.592457942,0.000500415,Yes
NEXN,0.449139169,0.000510541,Yes
KCNK1,-0.908175071,0.000510662,Yes
ZNF497,-0.496585279,0.00051077,Yes
GYG1,0.406784836,0.000513921,Yes
FBN3,-1.053008862,0.000513976,Yes
PLAAT4,1.297732486,0.000515406,Yes
SLC66A3,-0.433510905,0.000518349,Yes
DIRAS1,-0.723405356,0.000521278,Yes
LOC105370854,-0.36124696,0.000522377,Yes
UBAC2-AS1,0.939188906,0.00052274,Yes
NIPAL2,-0.957856227,0.000529396,Yes
NECAB3,-0.524797657,0.000530615,Yes
FBXL2,-0.977145018,0.000533244,Yes
CASP4,1.503267434,0.000534936,Yes
TMEM151A,-0.651060402,0.00053548,Yes
TMED5,0.501473885,0.000535546,Yes
IL18R1,1.675373817,0.000538839,Yes
IFITM1,1.254900029,0.00053984,Yes
MORN5,0.777716659,0.000540064,Yes
ORC2,-0.528497388,0.000541328,Yes
TTPAL,-0.62852178,0.000543595,Yes
EEF1D,0.65336283,0.000545929,Yes
RFLNB,1.133525907,0.000547595,Yes
GABRG3,-0.836610087,0.000548277,Yes
RTBDN,-0.443059222,0.000551214,Yes
SETDB2-PHF11,0.395637659,0.000556066,Yes
SOD2,0.407989389,0.000563967,Yes
LNCOC1,-0.645281388,0.000567037,Yes
RBM47,1.5436647,0.000568785,Yes
ISCA2,0.42696337,0.000569718,Yes
SOCS2,-0.661043237,0.000569767,Yes
LOC105372585,-0.778410422,0.00057098,Yes
SQSTM1,0.731875791,0.000571648,Yes
ASB8,-0.248658517,0.000572475,Yes
LOC105377945,0.374812844,0.000573301,Yes
NCR3LG1,-1.452995319,0.000574904,Yes
DGCR9,-1.06893762,0.000578102,Yes
LOC107985902,-0.977360787,0.00058018,Yes
SLC22A23,-0.412687156,0.000580315,Yes
MAPK15,-1.019769234,0.000582551,Yes
PLEKHA4,1.436036176,0.00058372,Yes
SV2B,-1.162399895,0.000587314,Yes
HNRNPA1P10,0.464328276,0.000588163,Yes
RNF24,-0.34079907,0.000590611,Yes
SEC11A,0.650671253,0.000590866,Yes
SPNS2,-0.42465597,0.000591101,Yes
MESD,0.367764956,0.000594889,Yes
BST2,1.50723913,0.000595379,Yes
RAB40B,-0.534273406,0.000599913,Yes
CASP7,1.110409342,0.000601703,Yes
LOC105369329,1.155642765,0.000601903,Yes
TMEM87B,-0.557820806,0.000603045,Yes
C1QA,1.896063801,0.000611906,Yes
TBC1D1,0.411403834,0.000613651,Yes
CDH23,1.217275567,0.000614314,Yes
SEC16B,-0.687321381,0.000615385,Yes
DYNC2LI1,-0.394529286,0.000616799,Yes
CDH8,-1.28581318,0.000621156,Yes
TRAF3IP2,1.030615431,0.000621945,Yes
RGPD4,-0.619744359,0.000623574,Yes
FDX1,0.374330023,0.00062455,Yes
CEP295,-0.384597882,0.000626675,Yes
DNAJC3-DT,0.795399367,0.000630893,Yes
TENT5C,0.974238133,0.000633616,Yes
LACTB,0.303931709,0.000638405,Yes
SLC38A7,-0.601471735,0.000639068,Yes
PLSCR4,1.154529344,0.000642547,Yes
ANAPC1P4,-0.679939729,0.000642789,Yes
IL13RA1,0.750331289,0.000645403,Yes
NHS,0.591883625,0.000646238,Yes
MLKL,2.249438361,0.00064768,Yes
HIF1A-AS1,0.922088341,0.000648012,Yes
LIG4,-0.711722134,0.000648412,Yes
PLEKHG3,-0.595082418,0.000648921,Yes
TNIP2,1.011656628,0.000649729,Yes
SCN5A,-1.309846778,0.000651417,Yes
LOC102724943,-0.988722065,0.000651421,Yes
CNTN6,-1.189769733,0.00065388,Yes
ATN1,0.547270234,0.000654363,Yes
PDE7A,-0.559269283,0.00065461,Yes
MPP2,-0.545077054,0.000657456,Yes
LMAN2L,0.895663868,0.000657663,Yes
RPL22,0.464877662,0.00065837,Yes
PSMD11,-0.312289185,0.000662001,Yes
SNORD141B,0.830052181,0.000663669,Yes
CIDECP1,-0.571421545,0.000664337,Yes
SLC25A43,0.781115066,0.000665716,Yes
GFAP,1.530156404,0.000668608,Yes
SEC61A2,-0.622599612,0.000670906,Yes
TNFRSF1A,1.221142841,0.000672466,Yes
IL32,1.501614742,0.000675612,Yes
ACADL,0.902379449,0.000675649,Yes
ZDHHC23,-0.942154486,0.000676749,Yes
LINC01511,-1.888115368,0.000677721,Yes
ST6GAL2,-0.6025495,0.000678902,Yes
LOC100130283,0.930924404,0.000679918,Yes
SCN8A,-1.184163196,0.000682201,Yes
SLIT1,-0.781303327,0.000682607,Yes
HLA-C,0.969455906,0.000683431,Yes
CNTNAP4,-0.70843167,0.000687176,Yes
LINC02256,-0.660360118,0.000687553,Yes
LOC107986455,-0.67963609,0.000688508,Yes
PDE5A,-0.523092893,0.000695568,Yes
SMS,0.425360698,0.000696911,Yes
EIF4EBP1,1.448801861,0.000698406,Yes
ENTREP1,1.445955697,0.000705327,Yes
PML,0.752938573,0.000707471,Yes
GRASLND,-1.031741867,0.000708923,Yes
HNRNPA1,0.434380422,0.000710957,Yes
LINC01354,1.123916449,0.00071344,Yes
DNMBP,0.755200006,0.000714379,Yes
LTBP1,0.931894794,0.000717692,Yes
CDC26,0.456551739,0.000718398,Yes
PRPF38B,0.658840457,0.000718616,Yes
MPPED1,-0.50416301,0.00071998,Yes
FBXO36,0.667496288,0.000737523,Yes
FXYD5,0.932498738,0.000738783,Yes
TRAPPC14,-0.360550566,0.000740447,Yes
BBS7,-0.896305365,0.000741063,Yes
MTF2,-0.438409654,0.000742181,Yes
PTGES,-0.69881025,0.000743881,Yes
CTBS,0.487690955,0.000744374,Yes
HP,1.846998835,0.000745814,Yes
RASA2,-0.513573472,0.000746142,Yes
LCP1,1.370089513,0.000746213,Yes
C9orf64,0.472630049,0.000746578,Yes
GBP3,1.531644447,0.000749599,Yes
LOC100505555,-0.780298196,0.000750499,Yes
GEM,1.279267343,0.000751692,Yes
SLC29A1,-0.922618486,0.000751742,Yes
CDK5R2,-0.611296706,0.000752692,Yes
ADCY6,-0.477548301,0.000753601,Yes
LAPTM4A,0.626446256,0.000757886,Yes
HLA-DMA,0.934556691,0.000760414,Yes
PDPN,0.988011686,0.000762411,Yes
GRM7,-0.849222765,0.000763636,Yes
ANGPTL1,1.147747586,0.000769144,Yes
TOR3A,0.325566282,0.000772779,Yes
GNG12,0.901655851,0.000772846,Yes
ABI3,1.428669243,0.000772884,Yes
OTUD7A,-0.417691357,0.000778593,Yes
BATF2,1.23547679,0.000778651,Yes
SLC27A4,-0.600584356,0.000779128,Yes
ANAPC1P2,-0.643083557,0.000780245,Yes
ADAT1,-0.492512661,0.000780889,Yes
SLC9A1,-0.600502855,0.00078186,Yes
AOC3,1.214266986,0.000786591,Yes
LGALS3,1.200285424,0.000787516,Yes
BMPER,-0.606614616,0.000791072,Yes
HPSE2,-1.568790092,0.000797829,Yes
KCNA2,-1.120862365,0.000797956,Yes
KCNA6,-0.602404317,0.000804682,Yes
MOXD1,1.100868341,0.00080741,Yes
NPPA,-1.10328478,0.000813463,Yes
AFAP1L2,-0.399152278,0.000815545,Yes
NCK1,0.324481224,0.000816707,Yes
FAM131B,-0.677334328,0.000817306,Yes
NPL,1.062149553,0.000818182,Yes
RPS3A,0.614520633,0.000818377,Yes
TULP3,0.922797637,0.000819079,Yes
RS1,-0.610574302,0.00081976,Yes
YAP1,1.044412548,0.000821595,Yes
CNNM1,-0.771879972,0.000823393,Yes
EGR3,-0.985896884,0.000823558,Yes
SAMHD1,0.753147791,0.000825242,Yes
LINC02857,-0.879452305,0.00082691,Yes
DHCR24,-0.836460726,0.000829373,Yes
ZNF788P,0.85878433,0.000830431,Yes
GMEB2,-0.35412835,0.000831121,Yes
PLIN2,1.204403199,0.000831871,Yes
OSER1-DT,0.479352846,0.000833361,Yes
HCLS1,1.257727299,0.000836004,Yes
KCNJ12,-0.788576259,0.000836088,Yes
OSCAR,1.01084814,0.000841106,Yes
ROCK2,-0.856696574,0.000841983,Yes
SRPX,1.143261199,0.000843937,Yes
STARD4,-0.875008668,0.000844965,Yes
MT1X,1.250942653,0.000849409,Yes
ARHGEF7,-0.727235929,0.000852277,Yes
UBE2E1,0.379126484,0.000852517,Yes
OLFM1,-0.533074089,0.00085439,Yes
AQP4,1.17087167,0.000856414,Yes
TRPS1,0.840126429,0.00085659,Yes
ZMYND12,0.760984451,0.000856628,Yes
UBQLN4,0.409383395,0.000857065,Yes
CXXC5,-0.361649444,0.000857146,Yes
PIGC,0.324731403,0.000857839,Yes
CCND3,0.684394585,0.000864254,Yes
MARCHF4,-0.951458253,0.000864638,Yes
PROKR2,-1.078690018,0.000865041,Yes
NPAS2,-0.405930236,0.000869046,Yes
STON1,0.808465724,0.0008708,Yes
MEF2B,0.935392063,0.000872227,Yes
ZNF28,0.614316482,0.000874593,Yes
COL16A1,-0.57240207,0.00087799,Yes
UNC79,-0.714421009,0.000878248,Yes
LBH,-0.599414578,0.000880876,Yes
GALR1,-1.006593116,0.000882561,Yes
ZKSCAN8,0.54251862,0.000884531,Yes
GRIN2A,-1.107952221,0.000885444,Yes
ATF7-NPFF,0.587277469,0.000886286,Yes
BAALC-AS1,1.575871141,0.000888679,Yes
SEMA5B,-0.744310778,0.00089352,Yes
ZHX1,0.236919931,0.000894444,Yes
DOCK3,-0.856825317,0.000899956,Yes
UHRF1,1.195549025,0.00090122,Yes
TIGAR,-0.380134224,0.000904888,Yes
GPR149,-0.943196649,0.000905789,Yes
TRIM11,-0.336850691,0.000910186,Yes
TSPAN17,-0.555815122,0.000911188,Yes
LOC105372096,-0.838123682,0.000911583,Yes
ADAMTS8,-0.972508972,0.000918032,Yes
CSF1,1.161385212,0.000919143,Yes
KREMEN1,0.636149099,0.000920371,Yes
ANKRD34C,-1.105430307,0.00092383,Yes
TGIF1,1.375622563,0.000924465,Yes
LINC01202,-1.542960206,0.00092484,Yes
AIMP1,0.36361618,0.000925041,Yes
NAGPA,-0.543735808,0.000925955,Yes
CASP1,1.407553663,0.000927655,Yes
ADAMTS13,-0.578816311,0.000931004,Yes
PRRT3,-0.493069283,0.000932924,Yes
STRN4,-0.42600002,0.000934432,Yes
R3HDM2,-0.478804802,0.00093492,Yes
SEPTIN9,0.79433514,0.000935555,Yes
LINC00460,-0.717827582,0.000935917,Yes
PTPN3,-1.370458029,0.000936076,Yes
EGFL7,-0.588720462,0.000936863,Yes
HNRNPU,0.244529984,0.000936927,Yes
SLC19A1,-0.549806991,0.000938427,Yes
TMEM198,-0.466886014,0.000938519,Yes
PAQR4,-0.628265052,0.000938803,Yes
PBX3,0.728415568,0.00093916,Yes
NKAIN2,-0.606615371,0.000943418,Yes
SDHD,0.456866126,0.000945786,Yes
TRAF5,-0.715339073,0.000948087,Yes
RELL2,-0.790326579,0.000950752,Yes
VASN,1.01097322,0.000956364,Yes
CD59,0.62739383,0.0009564,Yes
PCDHA9,-0.615683044,0.000960491,Yes
TRH,1.046303942,0.000963476,Yes
IRGQ,-0.457476403,0.000969877,Yes
PPP6R3,-0.36914608,0.000976861,Yes
HYKK,0.440043865,0.00097731,Yes
TCTN3,0.34641892,0.000984234,Yes
TM7SF2,-0.622755547,0.00098524,Yes
LINC02700,-0.946129104,0.000989424,Yes
RIC3,-0.340846801,0.000990209,Yes
CDH20,0.676745821,0.000991551,Yes
THRA,0.288611957,0.000995763,Yes
TXNDC12,0.349200522,0.00100033,Yes
HTR1F,-1.195655983,0.001001421,Yes
IRAK4,0.762375901,0.001002342,Yes
TICAM1,0.506497927,0.001003234,Yes
FARP1,0.491068312,0.001007759,Yes
CHRM4,-0.878234841,0.001010092,Yes
IMPDH2,0.466776872,0.001011437,Yes
ANK3,-0.77632451,0.001016423,Yes
GABBR1,-0.291645167,0.001022126,Yes
SLC26A10P,-0.798016625,0.001024272,Yes
PHF24,-0.676075953,0.001025131,Yes
LUM,-0.771189707,0.001025183,Yes
C1QC,1.819628869,0.001029088,Yes
ADA2,0.671638127,0.001030453,Yes
MIGA1,-0.652041902,0.001034955,Yes
VLDLR,-0.798910949,0.00104248,Yes
CALCOCO2,0.84716081,0.001042764,Yes
CASP6,0.867635643,0.001043514,Yes
LOC105378281,0.858662991,0.001045091,Yes
RPS16,0.807005238,0.001049978,Yes
SNRPA,0.605211917,0.001051272,Yes
PART1,-1.011609948,0.001051293,Yes
GYG2,0.558860944,0.001053686,Yes
SSR2,0.458121189,0.001054876,Yes
HFE,1.003736876,0.001055118,Yes
CLN5,0.482955173,0.001057054,Yes
EXOC6,-0.773483472,0.001060367,Yes
HSD3B7,0.892224592,0.001061071,Yes
HOOK2,-0.50701787,0.001061683,Yes
RAP1B,0.439911054,0.001062911,Yes
AZGP1,0.987506105,0.001069249,Yes
GOLGA7B,0.523371405,0.001074197,Yes
LOC101929473,-1.260657832,0.001084784,Yes
TPP1,0.795762536,0.001085815,Yes
IPCEF1,-0.872326832,0.001086192,Yes
TCEA3,0.731233028,0.001087364,Yes
BLVRB,0.517061949,0.00108839,Yes
RADIL,0.633682407,0.001090598,Yes
HSD17B11,0.427442567,0.001093984,Yes
SH3BGRL,0.388761473,0.00109564,Yes
ANKRD36C,-0.713118901,0.001095803,Yes
ISOC1,0.476459388,0.00109591,Yes
PARP14,0.727512169,0.001097089,Yes
STK17B,1.256732777,0.001100693,Yes
LINC00507,-0.231483786,0.001103504,Yes
RGR,1.313652366,0.001104277,Yes
NUP160,0.452811619,0.001110402,Yes
P2RX5,-0.825050142,0.001110554,Yes
GRIK3,-0.75173957,0.001111805,Yes
TSPAN33,0.695113316,0.001111806,Yes
ELAPOR2,-0.597824005,0.001112285,Yes
HEMK1,0.495772838,0.001112517,Yes
LOC102724428,-1.069490983,0.001115058,Yes
RAVER2,0.517209454,0.001117163,Yes
DTX3L,1.016525358,0.001118924,Yes
CTSK,0.406282003,0.001120369,Yes
AARD,-0.7874042,0.001127444,Yes
SYT11,-0.655943208,0.00112771,Yes
PCBD1,0.919745198,0.001130296,Yes
BRPF3,-0.500029662,0.00113085,Yes
ZNF468,0.607724725,0.00113422,Yes
NUDT6,0.753104354,0.001134281,Yes
PAK2,0.465526804,0.001135611,Yes
TEAD4,1.440838858,0.001135916,Yes
RHBDD1,0.55184408,0.001137088,Yes
SIDT1,-0.895888906,0.001139403,Yes
LRIF1,0.534180275,0.001139408,Yes
RDH12,-0.727143391,0.001144446,Yes
LRRC53,-1.403460215,0.001155171,Yes
AKAP9,-0.469940886,0.001158914,Yes
DSE,0.566105817,0.001159835,Yes
H2AC18,0.915907098,0.001160889,Yes
HTR1D,1.285546793,0.001164289,Yes
CEP126,-0.676343296,0.001165154,Yes
NAA25,-0.57980777,0.001165226,Yes
HBA2,1.276095416,0.001166041,Yes
RPL7,0.551510001,0.001166357,Yes
LINC01521,-0.44057817,0.001179785,Yes
NEDD1,0.77871127,0.001181126,Yes
UMPS,0.280866766,0.001182474,Yes
OPA3,-0.383683013,0.001183291,Yes
B3GNT2,-0.79604812,0.001183559,Yes
BTN3A3,0.450317209,0.001185005,Yes
SERP1,0.729602693,0.001190857,Yes
JAKMIP3,-0.568357899,0.001192862,Yes
PNPLA8,0.324470594,0.001195385,Yes
COL9A3,-0.947093108,0.001197553,Yes
CYB5R3,0.635656561,0.001207999,Yes
SVOP,-0.893027424,0.001208258,Yes
SEC24D,-0.516419807,0.001212746,Yes
SSH2,-0.625307756,0.001213771,Yes
SPDYE3,-0.520782009,0.001217407,Yes
MMUT,0.288182612,0.001217935,Yes
ANKRD52,-0.601867819,0.001220401,Yes
PSMB8,0.934936776,0.001222029,Yes
TMEM191B,-0.646975857,0.001225218,Yes
LRRC56,-0.59909492,0.001230969,Yes
CAPRIN2,-0.617125726,0.001234975,Yes
MALSU1,0.366287845,0.001235736,Yes
USP31,-0.497270174,0.001236075,Yes
RHOF,-0.355421036,0.001244504,Yes
PIGF,0.572019111,0.001245651,Yes
RUNX1,1.278887312,0.001245912,Yes
ABCC4,0.876114725,0.00124871,Yes
SPEG,-0.530226924,0.001253003,Yes
CYTH2,-0.332103262,0.001257137,Yes
METTL18,0.538762939,0.001257224,Yes
AFF1,0.678992751,0.001263231,Yes
AIDA,0.567682161,0.00126533,Yes
GBP1,0.952596087,0.001266359,Yes
DUSP3,-0.507948939,0.001267703,Yes
ARHGEF25,-0.54417361,0.001270887,Yes
PTGES3L,-0.801676555,0.001272979,Yes
SQLE,-0.587803062,0.001273372,Yes
ACTL6A,0.972274694,0.001273966,Yes
ALG13,-0.394660739,0.00127406,Yes
KPNA2,-0.358304077,0.00127509,Yes
SOX18,-1.178787047,0.001275451,Yes
GDF7,-0.979632519,0.001275647,Yes
CBR3,0.891187562,0.001276936,Yes
RGPD5,-0.686788562,0.001277642,Yes
CCNG1,0.626631981,0.001278804,Yes
TECPR1,-0.501922303,0.001279098,Yes
SDSL,1.488503043,0.001281375,Yes
HEATR3,-0.546574205,0.001288024,Yes
ACAD8,-0.402905903,0.001299567,Yes
CFAP74,-0.681966567,0.001305506,Yes
PRR34-AS1,0.943098835,0.001309329,Yes
PLBD1,0.896486146,0.001309875,Yes
RIPK2,0.383323954,0.001313973,Yes
RCC1,0.899150297,0.001320519,Yes
PCDH1,-0.566746006,0.001329259,Yes
SLC7A11-AS1,1.043849478,0.001332153,Yes
FSTL1,0.813192658,0.001333877,Yes
STAG3L3,-0.522972512,0.001334455,Yes
SMG6,0.363566303,0.001334596,Yes
PAX6,0.926075679,0.001335013,Yes
NRXN3,-0.843509679,0.001336227,Yes
TAF1A-AS1,0.921043407,0.001341221,Yes
SSR3,0.351530236,0.00134207,Yes
CDCA5,-0.810098759,0.001342076,Yes
ARL2-SNX15,0.333552749,0.0013464,Yes
ARFGAP1,-0.31104304,0.001349398,Yes
PLCL2,-0.93043098,0.001352717,Yes
GRAMD4,-0.427531792,0.001354657,Yes
PABPC1,0.40520357,0.001360861,Yes
CTSZ,0.703287887,0.001367011,Yes
ERGIC3,0.341488592,0.001367523,Yes
PAH,-0.622386532,0.001367984,Yes
FGF22,-0.852838125,0.001370833,Yes
KALRN,-0.709636869,0.001371316,Yes
C12orf29,0.310867062,0.001371862,Yes
ZNF335,-0.355544766,0.00137363,Yes
IL1RL2,-0.862391606,0.001378778,Yes
SNORD141A,0.641170422,0.001383529,Yes
RAP1GAP2,-0.505907689,0.001398102,Yes
NFKB2,1.308035556,0.001400417,Yes
BMPR1A,0.38642362,0.001407611,Yes
COX15,0.279281533,0.00141844,Yes
GRIPAP1,-0.497754038,0.001421634,Yes
DMKN,0.875632861,0.001428394,Yes
C3orf33,-0.354525463,0.001431437,Yes
HBA1,1.239584959,0.001435193,Yes
LOC105373378,0.590071963,0.001437351,Yes
ABHD4,1.108171871,0.00143755,Yes
SMAD5,0.562424924,0.00144331,Yes
RAB29,0.522985458,0.001443471,Yes
VSIR,1.206252396,0.001447071,Yes
